SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Milvus migrans [migrans Group],Black Kite (Black),blkkit1,issf,8250.0,BBKI BLAK BLKI,MIMI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,blakit1,,,accipi1
Milvus migrans lineatus/formosanus,Black Kite (Black-eared),blkkit2,issf,8254.0,BBKI BLAK BLKI,MIMI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,blakit1,,,accipi1
Milvus migrans aegyptius/parasitus,Black Kite (Yellow-billed),blkkit3,issf,8257.0,BBKI BLAK YBKI BLKI,MIMI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,blakit1,,,accipi1
Milvus milvus/migrans,Red/Black Kite,y00611,slash,8260.0,BBKI BLAK REKI BLKI,MIMI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliastur indus,Brahminy Kite,brakit1,species,8261.0,BRKI,HAIN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Milvus migrans/Haliastur indus,Black/Brahminy Kite,y00393,slash,8266.0,BBKI BRKI BLAK BLKI,MIMI HAIN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliastur sphenurus,Whistling Kite,whikit1,species,8267.0,WHKI,HASP,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliaeetus albicilla,White-tailed Eagle,whteag,species,8268.0,WTSE,HAAL,WTEA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliaeetus leucocephalus,Bald Eagle,baleag,species,8271.0,,HALE,BAEA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliaeetus leucoryphus,Pallas's Fish-Eagle,pafeag1,species,8274.0,PAFE PFEA,HALE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliaeetus pelagicus,Steller's Sea-Eagle,stseag,species,8275.0,SSEA,HAPE,STSE,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliaeetus leucocephalus x pelagicus,Bald Eagle x Steller's Sea-Eagle (hybrid),x00989,hybrid,8276.0,STSE BAEA SSEA,HAPE HALE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Aquila chrysaetos/Haliaeetus leucocephalus,Golden/Bald Eagle,y00944,slash,8277.0,BAEA GOEA,AQCH HALE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga vocifer,African Fish-Eagle,affeag1,species,8278.0,AFFE AFEA,ICVO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga vociferoides,Madagascar Fish-Eagle,mafeag1,species,8279.0,MAFE MFEA,ICVO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga leucogaster,White-bellied Sea-Eagle,wbseag1,species,8280.0,WBSE,ICLE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga sanfordi,Sanford's Sea-Eagle,solsee1,species,8281.0,SASE SSEA,ICSA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga humilis,Lesser Fish-Eagle,lefeag1,species,8282.0,LFEA LEFE,ICHU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga ichthyaetus,Gray-headed Fish-Eagle,gyhfie1,species,8285.0,GHFE,ICIC,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Icthyophaga humilis/ichthyaetus,Lesser/Gray-headed Fish-Eagle,y00721,slash,8286.0,LFEA GHFE LEFE,ICHU ICIC,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Haliaeetus/Icthyophaga sp.,Haliaeetus/Icthyophaga sp.,haliae1,spuh,8287.0,,,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Butastur liventer,Rufous-winged Buzzard,ruwbuz1,species,8288.0,RWBU,BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Butastur rufipennis,Grasshopper Buzzard,grabuz1,species,8289.0,GRBU,BURU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Butastur teesa,White-eyed Buzzard,whebuz1,species,8290.0,WEBU,BUTE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Butastur indicus,Gray-faced Buzzard,gyfbuz1,species,8291.0,GFBU,BUIN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Ictinia mississippiensis,Mississippi Kite,miskit,species,8292.0,,ICMI,MIKI,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Ictinia plumbea,Plumbeous Kite,plukit1,species,8293.0,,ICPL,PLKI,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Ictinia mississippiensis/plumbea,Mississippi/Plumbeous Kite,y00772,slash,8294.0,MIKI PLKI,ICMI ICPL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Geranospiza caerulescens,Crane Hawk,crahaw,species,8295.0,,GECA,CRHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Geranospiza caerulescens [nigra Group],Crane Hawk (Blackish),crahaw1,issf,8296.0,CRHA,GECA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,crahaw,,,accipi1
Geranospiza caerulescens caerulescens,Crane Hawk (Gray),crahaw2,issf,8300.0,CRHA,GECA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,crahaw,,,accipi1
Geranospiza caerulescens gracilis/flexipes,Crane Hawk (Banded),crahaw3,issf,8301.0,CRHA,GECA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,crahaw,,,accipi1
Busarellus nigricollis,Black-collared Hawk,blchaw1,species,8304.0,,BUNI,BCHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Rostrhamus sociabilis,Snail Kite,snakit,species,8307.0,,ROSO,SNKI,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Helicolestes hamatus,Slender-billed Kite,slbkit1,species,8311.0,,HEHA,SBKI,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Morphnarchus princeps,Barred Hawk,barhaw1,species,8312.0,,MOPR,BAHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Cryptoleucopteryx plumbea,Plumbeous Hawk,pluhaw,species,8313.0,,CRPL,PLHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus schistaceus,Slate-colored Hawk,slchaw2,species,8314.0,SCHA,BUSC,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus anthracinus,Common Black Hawk,comblh1,species,8315.0,CBHA,BUAN,COBH,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus anthracinus anthracinus,Common Black Hawk (Common),cobhaw,issf,8316.0,COBH CBHA,BUAN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,comblh1,,,accipi1
Buteogallus anthracinus [subtilis Group],Common Black Hawk (Mangrove),mabhaw1,issf,8317.0,COBH CBHA,BUAN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,comblh1,,,accipi1
Buteogallus gundlachii,Cuban Black Hawk,cubblh1,species,8321.0,CBHA,BUGU,CUBH,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus aequinoctialis,Rufous Crab Hawk,ruchaw1,species,8322.0,RCHA RUCH,BUAE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus meridionalis,Savanna Hawk,savhaw1,species,8323.0,,BUME,SAHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus lacernulatus,White-necked Hawk,whnhaw2,species,8324.0,WNHA,BULA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus urubitinga,Great Black Hawk,grbhaw1,species,8325.0,,BUUR,GBHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus urubitinga ridgwayi,Great Black Hawk (Northern),grbhaw2,issf,8326.0,GBHA,BUUR,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,grbhaw1,,,accipi1
Buteogallus urubitinga urubitinga,Great Black Hawk (Southern),grbhaw3,issf,8327.0,GBHA,BUUR,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,grbhaw1,,,accipi1
Buteogallus anthracinus/urubitinga,Common/Great Black Hawk,y00945,slash,8328.0,GBHA COBH CBHA,BUUR BUAN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus solitarius,Solitary Eagle,soleag1,species,8329.0,BSEA,BUSO,SOEA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus coronatus,Chaco Eagle,croeag1,species,8332.0,CHEA CSEA,BUCO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteogallus sp.,Buteogallus sp.,buteog1,spuh,8333.0,,,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Rupornis magnirostris,Roadside Hawk,roahaw,species,8334.0,,RUMA,ROHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Rupornis magnirostris gracilis,Roadside Hawk (Cozumel I.),roahaw2,issf,8335.0,ROHA,RUMA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,roahaw,,,accipi1
Rupornis magnirostris [magnirostris Group],Roadside Hawk (Northern),roahaw3,issf,8336.0,ROHA,RUMA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,roahaw,,,accipi1
Rupornis magnirostris [pucherani Group],Roadside Hawk (Southern),roahaw4,issf,8344.0,ROHA,RUMA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,roahaw,,,accipi1
Parabuteo unicinctus,Harris's Hawk,hrshaw,species,8349.0,,PAUN,HAHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Parabuteo unicinctus harrisi,Harris's Hawk (Harris's),harhaw1,issf,8350.0,HAHA,PAUN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,hrshaw,,,accipi1
Parabuteo unicinctus unicinctus,Harris's Hawk (Bay-winged),harhaw2,issf,8351.0,HAHA,PAUN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,hrshaw,,,accipi1
Parabuteo leucorrhous,White-rumped Hawk,whrhaw1,species,8352.0,WRHA,PALE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Geranoaetus albicaudatus,White-tailed Hawk,whthaw,species,8353.0,,GEAL,WTHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Geranoaetus polyosoma,Variable Hawk,rebhaw2,species,8357.0,VAHA,GEPO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Geranoaetus polyosoma (Puna),Variable Hawk (Puna),punhaw1,form,8358.0,VAHA,GEPO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rebhaw2,,,accipi1
Geranoaetus polyosoma (Red-backed),Variable Hawk (Red-backed),rebhaw1,form,8359.0,VAHA,GEPO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rebhaw2,,,accipi1
Geranoaetus polyosoma polyosoma,Variable Hawk (Variable),varhaw1,issf,8360.0,VAHA,GEPO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rebhaw2,,,accipi1
Geranoaetus polyosoma exsul,Variable Hawk (Juan Fernandez),varhaw2,issf,8361.0,VAHA,GEPO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rebhaw2,,,accipi1
Geranoaetus melanoleucus,Black-chested Buzzard-Eagle,bcbeag1,species,8362.0,BCBE,GEME,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Geranoaetus sp.,Geranoaetus sp.,gerano1,spuh,8365.0,,,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Pseudastur occidentalis,Gray-backed Hawk,gybhaw2,species,8366.0,GBHA,PSOC,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Pseudastur albicollis,White Hawk,whihaw1,species,8367.0,,PSAL,WHHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Pseudastur albicollis ghiesbreghti,White Hawk (Snowy),whihaw2,issf,8368.0,WHHA,PSAL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,whihaw1,,,accipi1
Pseudastur albicollis costaricensis,White Hawk (White-shouldered),whihaw3,issf,8369.0,WHHA,PSAL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,whihaw1,,,accipi1
Pseudastur albicollis williaminae,White Hawk (Black-winged),whihaw5,issf,8370.0,WHHA,PSAL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,whihaw1,,,accipi1
Pseudastur albicollis albicollis,White Hawk (Black-tailed),whihaw4,issf,8371.0,WHHA,PSAL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,whihaw1,,,accipi1
Pseudastur polionotus,Mantled Hawk,manhaw2,species,8372.0,MAHA,PSPO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Leucopternis semiplumbeus,Semiplumbeous Hawk,semhaw,species,8373.0,,LESE,SEHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Leucopternis melanops,Black-faced Hawk,blfhaw1,species,8374.0,BFHA,LEME,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Leucopternis kuhli,White-browed Hawk,whbhaw2,species,8375.0,WBHA,LEKU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Bermuteo avivorus,Bermuda Hawk,berhaw1,species,8376.0,BEHA,BEAV,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,true,1603,accipi1
Buteo plagiatus,Gray Hawk,gryhaw2,species,8377.0,,BUPL,GRHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo nitidus,Gray-lined Hawk,gryhaw3,species,8378.0,,BUNI,GLHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo plagiatus/nitidus,Gray/Gray-lined Hawk,gryhaw1,slash,8382.0,GRHA GLHA,BUPL BUNI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo platypterus,Broad-winged Hawk,brwhaw,species,8383.0,,BUPL,BWHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo platypterus platypterus,Broad-winged Hawk (Northern),brwhaw1,issf,8384.0,BWHA,BUPL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,brwhaw,,,accipi1
Buteo platypterus [antillarum Group],Broad-winged Hawk (Caribbean),brwhaw2,issf,8385.0,BWHA,BUPL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,brwhaw,,,accipi1
Buteo lineatus,Red-shouldered Hawk,reshaw,species,8391.0,,BULI,RSHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo lineatus [lineatus Group],Red-shouldered Hawk (lineatus Group),reshaw5,issf,8392.0,RSHA,BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,reshaw,,,accipi1
Buteo lineatus extimus,Red-shouldered Hawk (extimus),reshaw2,issf,8396.0,RSHA,BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,reshaw,,,accipi1
Buteo lineatus elegans,Red-shouldered Hawk (elegans),reshaw4,issf,8397.0,RSHA,BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,reshaw,,,accipi1
Buteogallus anthracinus x Buteo lineatus,Common Black x Red-shouldered Hawk (hybrid),x00787,hybrid,8398.0,RSHA COBH CBHA,BULI BUAN,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo ridgwayi,Ridgway's Hawk,ridhaw1,species,8399.0,,BURI,RIHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo platypterus x lineatus,Broad-winged x Red-shouldered Hawk (hybrid),x00400,hybrid,8400.0,RSHA BWHA,BUPL BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo platypterus/lineatus,Broad-winged/Red-shouldered Hawk,y00773,slash,8401.0,RSHA BWHA,BUPL BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo albonotatus,Zone-tailed Hawk,zothaw,species,8402.0,,BUAL,ZTHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo solitarius,Hawaiian Hawk,hawhaw,species,8403.0,HAHA,BUSO,HAWH,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo albigula,White-throated Hawk,whthaw1,species,8404.0,WTHA,BUAL,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo brachyurus,Short-tailed Hawk,shthaw,species,8405.0,,BUBR,STHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo swainsoni,Swainson's Hawk,swahaw,species,8408.0,,BUSW,SWHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo galapagoensis,Galapagos Hawk,galhaw1,species,8409.0,GAHA,BUGA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo jamaicensis,Red-tailed Hawk,rethaw,species,8410.0,,BUJA,RTHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo jamaicensis harlani,Red-tailed Hawk (Harlan's),hrthaw1,issf,8411.0,RTHA,BUJA,HRLH,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis abieticola,Red-tailed Hawk (abieticola),rethaw4,issf,8412.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis calurus/alascensis,Red-tailed Hawk (calurus/alascensis),wrthaw1,issf,8413.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis borealis,Red-tailed Hawk (borealis),erthaw1,issf,8416.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis calurus/abieticola,Red-tailed Hawk (calurus/abieticola),rethaw9,form,8417.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis kriderii,Red-tailed Hawk (Krider's),krthaw1,issf,8418.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis fuertesi,Red-tailed Hawk (fuertesi),frthaw1,issf,8419.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis suttoni,Red-tailed Hawk (Sutton's),rethaw14,issf,8420.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis kemsiesi/hadropus,Red-tailed Hawk (kemsiesi/hadropus),rethaw5,issf,8421.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis costaricensis,Red-tailed Hawk (costaricensis),rethaw1,issf,8424.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis fumosus,Red-tailed Hawk (fumosus),rethaw6,issf,8425.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis socorroensis,Red-tailed Hawk (socorroensis),rethaw7,issf,8426.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis umbrinus,Red-tailed Hawk (umbrinus),rethaw8,issf,8427.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis jamaicensis,Red-tailed Hawk (jamaicensis),rethaw2,issf,8428.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo jamaicensis solitudinis,Red-tailed Hawk (solitudinis),rethaw3,issf,8429.0,RTHA,BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,rethaw,,,accipi1
Buteo lineatus x jamaicensis,Red-shouldered x Red-tailed Hawk (hybrid),x00686,hybrid,8430.0,RSHA RTHA,BUJA BULI,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo ventralis,Rufous-tailed Hawk,ruthaw1,species,8431.0,RTHA,BUVE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo lagopus,Rough-legged Hawk,rolhaw,species,8432.0,RLBU,BULA,RLHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo swainsoni x lagopus,Swainson's x Rough-legged Hawk (hybrid),x00788,hybrid,8437.0,RLHA SWHA RLBU,BUSW BULA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo jamaicensis x lagopus,Red-tailed x Rough-legged Hawk (hybrid),x00731,hybrid,8438.0,RTHA RLHA RLBU,BUJA BULA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo regalis,Ferruginous Hawk,ferhaw,species,8439.0,,BURE,FEHA,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo jamaicensis x regalis,Red-tailed x Ferruginous Hawk (hybrid),x00930,hybrid,8440.0,FEHA RTHA,BURE BUJA,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo auguralis,Red-necked Buzzard,renbuz1,species,8441.0,RNBU,BUAU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo augur,Augur Buzzard,augbuz2,species,8442.0,AUBU,BUAU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo augur augur,Augur Buzzard (Augur),augbuz1,issf,8443.0,AUBU,BUAU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,augbuz2,,,accipi1
Buteo augur archeri,Augur Buzzard (Archer's),arcbuz1,issf,8444.0,AUBU,BUAU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,augbuz2,,,accipi1
Buteo rufofuscus,Jackal Buzzard,jacbuz1,species,8445.0,JABU,BURU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo oreophilus,Mountain Buzzard,moubuz2,species,8446.0,MOBU,BUOR,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo buteo,Common Buzzard,combuz1,species,8447.0,COBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo buteo buteo,Common Buzzard (Western),combuz7,issf,8448.0,COBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,combuz1,,,accipi1
Buteo buteo arrigonii,Common Buzzard (Corsican),combuz8,issf,8449.0,COBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,combuz1,,,accipi1
Buteo buteo rothschildi,Common Buzzard (Azores),combuz2,issf,8450.0,COBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,combuz1,,,accipi1
Buteo buteo insularum,Common Buzzard (Canary Is.),combuz3,issf,8451.0,COBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,combuz1,,,accipi1
Buteo buteo bannermani,Common Buzzard (Cape Verde),combuz4,issf,8452.0,COBU CVBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,combuz1,,,accipi1
Buteo buteo vulpinus/menetriesi,Common Buzzard (Steppe),combuz5,issf,8453.0,COBU EUBU,BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,combuz1,,,accipi1
Buteo trizonatus,Forest Buzzard,moubuz3,species,8456.0,FOBU,BUTR,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo [undescribed form],Elgin Buzzard (undescribed form),moubuz4,form,8457.0,ELBU,,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo brachypterus,Madagascar Buzzard,madbuz1,species,8458.0,MABU,BUBR,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo socotraensis,Socotra Buzzard,socbuz1,species,8459.0,SOBU,BUSO,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo rufinus,Long-legged Buzzard,lolbuz1,species,8460.0,,BURU,LLBU,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo rufinus rufinus,Long-legged Buzzard (Northern),lolbuz2,issf,8461.0,LLBU,BURU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,lolbuz1,,,accipi1
Buteo rufinus cirtensis,Long-legged Buzzard (Atlas),lolbuz3,issf,8462.0,LLBU,BURU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,lolbuz1,,,accipi1
Buteo buteo x rufinus,Common x Long-legged Buzzard (hybrid),x00766,hybrid,8463.0,COBU LLBU EUBU,BUBU BURU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo buteo/rufinus,Common/Long-legged Buzzard,y01024,slash,8464.0,LLBU COBU EUBU,BURU BUBU,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo hemilasius,Upland Buzzard,uplbuz1,species,8465.0,UPBU,BUHE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo rufinus x hemilasius,Long-legged x Upland Buzzard (hybrid),x00789,hybrid,8466.0,LLBU UPBU,BURU BUHE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo rufinus/hemilasius,Long-legged/Upland Buzzard,y00843,slash,8467.0,LLBU UPBU,BURU BUHE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
Buteo refectus,Himalayan Buzzard,combuz9,species,8468.0,HIBU,BURE,,Accipitriformes,"Hawks, Eagles, and Kites",Accipitridae,,,,accipi1
